YEAR,LICENSED,CAR,TRUCK,MOTO
1995,19327,13192,3535,320
1996,19964,13251,3620,312
1997,20148,13515,3684,319
1998,20744,13887,3767,334
1999,20934,16538,722,274
2000,20593,16832,739,311
2001,20879,17055,729,318
2002,21163,17543,724,350
2003,21436,17755,740,373
2004,21673,17920,752,409
2005,21937,18124,786,443
2006,22278,18739,841,485
2007,22606,19199,872,522
2008,22972,19613,907,567
2009,23198,19877,915,595
2010,23541,20268,964,616
2011,23831,20608,1008,631
2012,24147,20652,1053,661
2013,24630,21262,1072,672
2014,24914,21730,1120,688
